text,real,modelo,prompt,pred
Es horrible,negativa,HuggingFace,preentrenado,negativo
Es aceptable,neutral,OpenAI,zero-shot,error
Es aceptable,neutral,OpenAI,few-shot,error
Es aceptable,neutral,OpenAI,chain-of-thought,error
Es aceptable,neutral,HuggingFace,preentrenado,neutral
Es un mal producto,negativa,OpenAI,zero-shot,error
Es un mal producto,negativa,OpenAI,few-shot,error
Es un mal producto,negativa,OpenAI,chain-of-thought,error
Es un mal producto,negativa,HuggingFace,preentrenado,negativo
Es impresionante,positiva,OpenAI,zero-shot,error
Es impresionante,positiva,OpenAI,few-shot,error
Es impresionante,positiva,OpenAI,chain-of-thought,error
Es impresionante,positiva,HuggingFace,preentrenado,positivo
Es increíble,positiva,OpenAI,zero-shot,error
Es increíble,positiva,OpenAI,few-shot,error
Es increíble,positiva,OpenAI,chain-of-thought,error
Es increíble,positiva,HuggingFace,preentrenado,positivo
